算法,数据�?隐藏比例,,acc,precision,recall,f1
meanteacher,census,RATIO_0_8,0.625,0.3125,0.5,0.384615385
meanteacher,census,RATIO_0_9,0.625,0.3125,0.5,0.384615385
meanteacher,credit,RATIO_0_1,0.25,0.125,0.5,0.2
meanteacher,credit,RATIO_0_2,0.375,0.1875,0.5,0.272727273
meanteacher,credit,RATIO_0_3,0.25,0.125,0.5,0.2
meanteacher,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
meanteacher,credit,RATIO_0_5,0.75,0.375,0.5,0.428571429
meanteacher,credit,RATIO_0_6,0.625,0.3125,0.5,0.384615385
meanteacher,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
meanteacher,credit,RATIO_0_8,0.625,0.3125,0.5,0.384615385
meanteacher,credit,RATIO_0_9,0.625,0.3125,0.5,0.384615385
mixmatch,bank,RATIO_0_1,0.25,0.125,0.5,0.2
mixmatch,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
mixmatch,bank,RATIO_0_3,0.25,0.125,0.5,0.2
mixmatch,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
mixmatch,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
mixmatch,bank,RATIO_0_6,0.375,0.1875,0.5,0.272727273
mixmatch,bank,RATIO_0_7,0.625,0.3125,0.5,0.384615385
mixmatch,bank,RATIO_0_8,0.375,0.1875,0.5,0.272727273
mixmatch,bank,RATIO_0_9,0.375,0.1875,0.5,0.272727273
mixmatch,census,RATIO_0_1,0.25,0.125,0.5,0.2
mixmatch,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
mixmatch,census,RATIO_0_3,0.75,0.375,0.5,0.428571429
mixmatch,census,RATIO_0_4,0.25,0.125,0.5,0.2
mixmatch,census,RATIO_0_5,0.25,0.125,0.5,0.2
mixmatch,census,RATIO_0_6,0.625,0.3125,0.5,0.384615385
mixmatch,census,RATIO_0_7,0.375,0.1875,0.5,0.272727273
mixmatch,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
mixmatch,census,RATIO_0_9,0.625,0.3125,0.5,0.384615385
mixmatch,credit,RATIO_0_1,0.25,0.125,0.5,0.2
mixmatch,credit,RATIO_0_2,0.375,0.1875,0.5,0.272727273
mixmatch,credit,RATIO_0_3,0.25,0.125,0.5,0.2
mixmatch,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
mixmatch,credit,RATIO_0_5,0.75,0.375,0.5,0.428571429
mixmatch,credit,RATIO_0_6,0.375,0.1875,0.5,0.272727273
mixmatch,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
mixmatch,credit,RATIO_0_8,0.625,0.3125,0.5,0.384615385
mixmatch,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
pimodel,bank,RATIO_0_1,0.25,0.125,0.5,0.2
pimodel,bank,RATIO_0_2,0.375,0.1875,0.5,0.272727273
pimodel,bank,RATIO_0_3,0.25,0.125,0.5,0.2
pimodel,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
pimodel,bank,RATIO_0_5,0.25,0.125,0.5,0.2
pimodel,bank,RATIO_0_6,0.625,0.3125,0.5,0.384615385
pimodel,bank,RATIO_0_7,0.375,0.1875,0.5,0.272727273
pimodel,bank,RATIO_0_8,0.375,0.1875,0.5,0.272727273
pimodel,bank,RATIO_0_9,0.625,0.3125,0.5,0.384615385
pimodel,census,RATIO_0_1,0.75,0.375,0.5,0.428571429
pimodel,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
pimodel,census,RATIO_0_3,0.25,0.125,0.5,0.2
pimodel,census,RATIO_0_4,0.75,0.375,0.5,0.428571429
pimodel,census,RATIO_0_5,0.25,0.125,0.5,0.2
pimodel,census,RATIO_0_6,0.375,0.1875,0.5,0.272727273
pimodel,census,RATIO_0_7,0.625,0.3125,0.5,0.384615385
pimodel,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
pimodel,census,RATIO_0_9,0.375,0.1875,0.5,0.272727273
pimodel,credit,RATIO_0_1,0.75,0.375,0.5,0.428571429
pimodel,credit,RATIO_0_2,0.625,0.3125,0.5,0.384615385
pimodel,credit,RATIO_0_3,0.75,0.375,0.5,0.428571429
pimodel,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
pimodel,credit,RATIO_0_5,0.25,0.125,0.5,0.2
pimodel,credit,RATIO_0_6,0.375,0.1875,0.5,0.272727273
pimodel,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
pimodel,credit,RATIO_0_8,0.625,0.3125,0.5,0.384615385
pimodel,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
pseudolabel,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
pseudolabel,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
pseudolabel,bank,RATIO_0_3,0.75,0.375,0.5,0.428571429
pseudolabel,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
pseudolabel,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
pseudolabel,bank,RATIO_0_6,0.375,0.1875,0.5,0.272727273
pseudolabel,bank,RATIO_0_7,0.625,0.3125,0.5,0.384615385
pseudolabel,bank,RATIO_0_8,0.625,0.3125,0.5,0.384615385
pseudolabel,bank,RATIO_0_9,0.625,0.3125,0.5,0.384615385
pseudolabel,census,RATIO_0_1,0.25,0.125,0.5,0.2
pseudolabel,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
pseudolabel,census,RATIO_0_3,0.25,0.125,0.5,0.2
pseudolabel,census,RATIO_0_4,0.75,0.375,0.5,0.428571429
pseudolabel,census,RATIO_0_5,0.25,0.125,0.5,0.2
pseudolabel,census,RATIO_0_6,0.375,0.1875,0.5,0.272727273
pseudolabel,census,RATIO_0_7,0.625,0.3125,0.5,0.384615385
pseudolabel,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
pseudolabel,census,RATIO_0_9,0.375,0.1875,0.5,0.272727273
pseudolabel,credit,RATIO_0_1,0.75,0.375,0.5,0.428571429
pseudolabel,credit,RATIO_0_2,0.625,0.3125,0.5,0.384615385
pseudolabel,credit,RATIO_0_3,0.25,0.125,0.5,0.2
pseudolabel,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
pseudolabel,credit,RATIO_0_5,0.25,0.125,0.5,0.2
pseudolabel,credit,RATIO_0_6,0.625,0.3125,0.5,0.384615385
pseudolabel,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
pseudolabel,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
pseudolabel,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
remixmatch,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
remixmatch,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
remixmatch,bank,RATIO_0_3,0.75,0.375,0.5,0.428571429
remixmatch,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
remixmatch,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
remixmatch,bank,RATIO_0_6,0.375,0.1875,0.5,0.272727273
remixmatch,bank,RATIO_0_7,0.625,0.3125,0.5,0.384615385
remixmatch,bank,RATIO_0_8,0.625,0.3125,0.5,0.384615385
remixmatch,bank,RATIO_0_9,0.625,0.3125,0.5,0.384615385
remixmatch,census,RATIO_0_1,0.75,0.375,0.5,0.428571429
remixmatch,census,RATIO_0_2,0.375,0.1875,0.5,0.272727273
remixmatch,census,RATIO_0_3,0.75,0.375,0.5,0.428571429
remixmatch,census,RATIO_0_4,0.75,0.375,0.5,0.428571429
remixmatch,census,RATIO_0_5,0.75,0.375,0.5,0.428571429
remixmatch,census,RATIO_0_6,0.625,0.3125,0.5,0.384615385
remixmatch,census,RATIO_0_7,0.375,0.1875,0.5,0.272727273
remixmatch,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
remixmatch,census,RATIO_0_9,0.375,0.1875,0.5,0.272727273
remixmatch,credit,RATIO_0_1,0.75,0.375,0.5,0.428571429
remixmatch,credit,RATIO_0_2,0.375,0.1875,0.5,0.272727273
remixmatch,credit,RATIO_0_3,0.25,0.125,0.5,0.2
remixmatch,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
remixmatch,credit,RATIO_0_5,0.75,0.375,0.5,0.428571429
remixmatch,credit,RATIO_0_6,0.625,0.3125,0.5,0.384615385
remixmatch,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
remixmatch,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
remixmatch,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
supervised,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
supervised,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
supervised,bank,RATIO_0_3,0.75,0.375,0.5,0.428571429
supervised,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
supervised,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
supervised,bank,RATIO_0_6,0.625,0.3125,0.5,0.384615385
supervised,bank,RATIO_0_7,0.625,0.3125,0.5,0.384615385
supervised,bank,RATIO_0_8,0.625,0.3125,0.5,0.384615385
supervised,bank,RATIO_0_9,0.625,0.3125,0.5,0.384615385
supervised,census,RATIO_0_1,0.25,0.125,0.5,0.2
supervised,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
supervised,census,RATIO_0_3,0.25,0.125,0.5,0.2
supervised,census,RATIO_0_4,0.75,0.375,0.5,0.428571429
supervised,census,RATIO_0_5,0.25,0.125,0.5,0.2
supervised,census,RATIO_0_6,0.625,0.3125,0.5,0.384615385
supervised,census,RATIO_0_7,0.625,0.3125,0.5,0.384615385
supervised,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
supervised,census,RATIO_0_9,0.625,0.3125,0.5,0.384615385
supervised,credit,RATIO_0_1,0.25,0.125,0.5,0.2
supervised,credit,RATIO_0_2,0.375,0.1875,0.5,0.272727273
supervised,credit,RATIO_0_3,0.75,0.375,0.5,0.428571429
supervised,credit,RATIO_0_4,0.25,0.125,0.5,0.2
supervised,credit,RATIO_0_5,0.75,0.375,0.5,0.428571429
supervised,credit,RATIO_0_6,0.375,0.1875,0.5,0.272727273
supervised,credit,RATIO_0_7,0.375,0.1875,0.5,0.272727273
supervised,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
supervised,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
uda,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
uda,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
uda,bank,RATIO_0_3,0.75,0.375,0.5,0.428571429
uda,bank,RATIO_0_4,0.25,0.125,0.5,0.2
uda,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
uda,bank,RATIO_0_6,0.375,0.1875,0.5,0.272727273
uda,bank,RATIO_0_7,0.375,0.1875,0.5,0.272727273
uda,bank,RATIO_0_8,0.625,0.3125,0.5,0.384615385
uda,bank,RATIO_0_9,0.375,0.1875,0.5,0.272727273
uda,census,RATIO_0_1,0.25,0.125,0.5,0.2
uda,census,RATIO_0_2,0.375,0.1875,0.5,0.272727273
uda,census,RATIO_0_3,0.75,0.375,0.5,0.428571429
uda,census,RATIO_0_4,0.25,0.125,0.5,0.2
uda,census,RATIO_0_5,0.75,0.375,0.5,0.428571429
